poradi,nazev,hodnoceni,rok,dekada,kategorie
1,Vykoupení z věznice Shawshank,95.4,1994,1990,Kultovní pecka
2,Forrest Gump,94.4,1994,1990,Kultovní pecka
3,Zelená míle,92.9,1999,1990,Kultovní pecka
4,Sedm,92.5,1995,1990,Kultovní pecka
5,Přelet nad kukaččím hnízdem,92.4,1975,1970,Kultovní pecka
6,Schindlerův seznam,92.4,1993,1990,Kultovní pecka
7,Kmotr,91.8,1972,1970,Kultovní pecka
8,Dvanáct rozhněvaných mužů,91.5,1957,1950,Kultovní pecka
9,Nedotknutelní,91.3,2011,2010,Kultovní pecka
10,Pelíšky,91.2,1999,1990,Kultovní pecka
11,Terminátor 2: Den zúčtování,91.0,1991,1990,Kultovní pecka
13,Pulp Fiction: Historky z podsvětí,90.8,1994,1990,Kultovní pecka
12,Pán prstenů: Společenstvo Prstenu,90.7,2001,2000,Kultovní pecka
14,Pán prstenů: Návrat krále,90.7,2003,2000,Kultovní pecka
15,Kmotr II,90.7,1974,1970,Kultovní pecka
17,Mlčení jehňátek,90.6,1991,1990,Kultovní pecka
16,Temný rytíř,90.5,2008,2000,Kultovní pecka
18,Tenkrát na Západě,90.5,1968,1960,Kultovní pecka
20,Gran Torino,90.3,2008,2000,Kultovní pecka
19,Matrix,90.3,1999,1990,Kultovní pecka
21,"Hodný, zlý a ošklivý",90.0,1966,1960,Kultovní pecka
24,Sedm statečných,89.9,1960,1960,Vynikající
22,Dobyvatelé ztracené archy,89.9,1981,1980,Vynikající
23,Rain Man,89.8,1988,1980,Vynikající
25,Vyšší princip,89.8,1960,1960,Vynikající
26,Indiana Jones a Poslední křížová výprava,89.7,1989,1980,Vynikající
27,Le Mans '66,89.7,2019,2010,Vynikající
28,Vetřelec,89.7,1979,1970,Vynikající
30,Rivalové,89.6,2013,2010,Vynikající
29,Vetřelci,89.6,1986,1980,Vynikající
31,Smrtonosná past,89.5,1988,1980,Vynikající
32,Podraz,89.5,1973,1970,Vynikající
33,Zachraňte vojína Ryana,89.3,1998,1990,Vynikající
34,S čerty nejsou žerty,89.3,1984,1980,Vynikající
35,Leon,89.2,1994,1990,Vynikající
36,"„Marečku, podejte mi pero!“",89.1,1976,1970,Vynikající
37,Amadeus,89.1,1984,1980,Vynikající
39,Star Wars: Epizoda V - Impérium vrací úder,89.0,1980,1980,Vynikající
38,Obecná škola,89.0,1991,1990,Vynikající
40,Pán prstenů: Dvě věže,88.9,2002,2000,Vynikající
41,L. A. - Přísně tajné,88.9,1997,1990,Vynikající
42,Cesta do hlubin študákovy duše,88.9,1939,1930,Vynikající
43,Butch Cassidy a Sundance Kid,88.9,1969,1960,Vynikající
44,Návrat do budoucnosti,88.8,1985,1980,Vynikající
45,Gladiátor,88.7,2000,2000,Vynikající
46,Počátek,88.7,2010,2010,Vynikající
48,Město bohů,88.7,2002,2000,Vynikající
117,Demon Slayer: Kimetsu no Yaiba Infinity Castle,88.7,2025,2020,Vynikající
47,Čistá duše,88.6,2001,2000,Vynikající
589,La traviata,88.5,1982,1980,Vynikající
49,Pianista,88.5,2002,2000,Vynikající
50,Spalovač mrtvol,88.5,1968,1960,Vynikající
51,Tanec s vlky,88.5,1990,1990,Vynikající
52,Vesničko má středisková,88.4,1985,1980,Vynikající
58,Kult hákového kříže,88.2,1998,1990,Vynikající
55,Casino,88.2,1995,1990,Vynikající
53,Nespoutaný Django,88.2,2012,2010,Vynikající
54,Šestý smysl,88.2,1999,1990,Vynikající
56,Prokletý ostrov,88.1,2010,2010,Vynikající
62,Nelítostný souboj,88.1,1995,1990,Vynikající
57,Klub rváčů,88.1,1999,1990,Vynikající
65,Klaus,88.0,2019,2010,Vynikající
61,Dobrý Will Hunting,88.0,1997,1990,Vynikající
60,Million Dollar Baby,88.0,2004,2000,Vynikající
59,Statečné srdce,88.0,1995,1990,Vynikající
63,Život je krásný,87.9,1997,1990,Vynikající
64,Psycho,87.9,1960,1960,Vynikající
66,Dokonalý trik,87.9,2006,2000,Vynikající
67,12 úkolů pro Asterixe,87.8,1976,1970,Vynikající
69,Smrtonosná zbraň,87.8,1987,1980,Vynikající
70,Četa,87.8,1986,1980,Vynikající
71,Hon,87.8,2012,2010,Vynikající
74,Star Wars: Epizoda IV - Nová naděje,87.7,1977,1970,Vynikající
77,Kladivo na čarodějnice,87.7,1969,1960,Vynikající
72,Prázdniny v Římě,87.7,1953,1950,Vynikající
68,Osvícení,87.7,1980,1980,Vynikající
78,Motýlek,87.6,1973,1970,Vynikající
82,Coco,87.6,2017,2010,Vynikající
76,Někdo to rád horké,87.6,1959,1950,Vynikající
73,Shrek,87.6,2001,2000,Vynikající
75,Na samotě u lesa,87.6,1976,1970,Vynikající
97,25 let neviny,87.5,2020,2020,Vynikající
80,Requiem za sen,87.5,2000,2000,Vynikající
79,Star Wars: Epizoda III - Pomsta Sithů,87.5,2005,2000,Vynikající
81,Mafiáni,87.5,1990,1990,Vynikající
83,U pokladny stál...,87.5,1939,1930,Vynikající
84,Tenkrát v Americe,87.5,1984,1980,Vynikající
85,Cesta do pravěku,87.4,1955,1950,Vynikající
86,Warrior,87.4,2011,2010,Vynikající
87,Obvyklí podezřelí,87.4,1995,1990,Vynikající
89,Podfu(c)k,87.4,2000,2000,Vynikající
93,Bourneovo ultimátum,87.3,2007,2000,Vynikající
90,Bohemian Rhapsody,87.3,2018,2010,Vynikající
88,Americká krása,87.3,1999,1990,Vynikající
95,Uprchlík,87.2,1993,1990,Vynikající
92,Byl jednou jeden král...,87.2,1954,1950,Vynikající
91,Star Wars: Epizoda VI - Návrat Jediů,87.2,1983,1980,Vynikající
534,Georges Bizet: Carmen,87.2,1984,1980,Vynikající
96,Čas probuzení,87.2,1990,1990,Vynikající
94,Terminátor,87.1,1984,1980,Vynikající
98,"Chyť mě, když to dokážeš",87.1,2002,2000,Vynikající
102,Spider-Man: Napříč paralelními světy,87.1,2023,2020,Vynikající
99,Poslední skaut,87.0,1991,1990,Vynikající
100,Princezna Mononoke,87.0,1997,1990,Vynikající
101,Frajer Luke,87.0,1967,1960,Vynikající
574,Korunní svědek,87.0,1959,1950,Vynikající
113,Sedm samurajů,86.9,1954,1950,Vynikající
103,Trainspotting,86.9,1996,1990,Vynikající
106,Duna: Část druhá,86.9,2024,2020,Vynikající
107,Medvěd,86.9,1988,1980,Vynikající
104,Truman Show,86.9,1998,1990,Vynikající
105,Světáci,86.9,1969,1960,Vynikající
214,Chainsaw Man – Film: Reze Arc,86.8,2025,2020,Vynikající
110,Cesta do fantazie,86.8,2001,2000,Vynikající
109,"Jára Cimrman ležící, spící",86.8,1983,1980,Vynikající
108,Hanebný pancharti,86.8,2009,2000,Vynikající
112,Zelená kniha,86.8,2018,2010,Vynikající
111,Škola základ života,86.8,1938,1930,Vynikající
116,Zjizvená tvář,86.7,1983,1980,Vynikající
115,Sbal prachy a vypadni,86.7,1998,1990,Vynikající
114,Americký gangster,86.7,2007,2000,Vynikající
124,Obchod na korze,86.7,1965,1960,Vynikající
125,Třináct životů,86.7,2022,2020,Vynikající
129,Smrtonosná zbraň 2,86.6,1989,1980,Vynikající
132,Ponorka,86.6,1981,1980,Vynikající
131,Čarodějův učeň,86.6,1977,1970,Vynikající
121,12 opic,86.6,1995,1990,Vynikající
122,Predátor,86.6,1987,1980,Vynikající
118,Batman začíná,86.6,2005,2000,Vynikající
120,Černý jestřáb sestřelen,86.6,2001,2000,Vynikající
126,Rocky,86.6,1976,1970,Vynikající
123,Osudový dotek,86.6,2004,2000,Vynikající
