Rank,Title,Rating,Year
1,Vykoupení z věznice Shawshank,95.4,1994
2,Forrest Gump,94.4,1994
3,Zelená míle,92.9,1999
4,Sedm,92.5,1995
5,Přelet nad kukaččím hnízdem,92.4,1975
6,Schindlerův seznam,92.4,1993
7,Kmotr,91.8,1972
8,Dvanáct rozhněvaných mužů,91.5,1957
9,Nedotknutelní,91.3,2011
10,Pelíšky,91.2,1999
11,Terminátor 2: Den zúčtování,91.0,1991
12,Pán prstenů: Společenstvo Prstenu,90.7,2001
13,Pulp Fiction: Historky z podsvětí,90.8,1994
14,Pán prstenů: Návrat krále,90.7,2003
15,Kmotr II,90.7,1974
16,Temný rytíř,90.5,2008
17,Mlčení jehňátek,90.6,1991
18,Tenkrát na Západě,90.5,1968
19,Matrix,90.3,1999
20,Gran Torino,90.3,2008
21,"Hodný, zlý a ošklivý",90.0,1966
22,Dobyvatelé ztracené archy,89.9,1981
23,Rain Man,89.8,1988
24,Sedm statečných,89.9,1960
25,Vyšší princip,89.8,1960
26,Indiana Jones a Poslední křížová výprava,89.7,1989
27,Le Mans '66,89.7,2019
28,Vetřelec,89.7,1979
29,Vetřelci,89.6,1986
30,Rivalové,89.6,2013
31,Smrtonosná past,89.5,1988
32,Podraz,89.5,1973
33,Zachraňte vojína Ryana,89.3,1998
34,S čerty nejsou žerty,89.3,1984
35,Leon,89.2,1994
36,"„Marečku, podejte mi pero!“",89.1,1976
37,Amadeus,89.1,1984
38,Obecná škola,89.0,1991
39,Star Wars: Epizoda V - Impérium vrací úder,89.0,1980
40,Pán prstenů: Dvě věže,88.9,2002
41,L. A. - Přísně tajné,88.9,1997
42,Cesta do hlubin študákovy duše,88.9,1939
43,Butch Cassidy a Sundance Kid,88.9,1969
44,Návrat do budoucnosti,88.8,1985
45,Gladiátor,88.7,2000
46,Počátek,88.7,2010
47,Čistá duše,88.6,2001
48,Město bohů,88.7,2002
49,Pianista,88.5,2002
50,Spalovač mrtvol,88.5,1968
51,Tanec s vlky,88.5,1990
52,Vesničko má středisková,88.4,1985
53,Nespoutaný Django,88.2,2012
54,Šestý smysl,88.2,1999
55,Casino,88.2,1995
56,Prokletý ostrov,88.1,2010
57,Klub rváčů,88.1,1999
58,Kult hákového kříže,88.2,1998
59,Statečné srdce,88.0,1995
60,Million Dollar Baby,88.0,2004
61,Dobrý Will Hunting,88.0,1997
62,Nelítostný souboj,88.1,1995
63,Život je krásný,87.9,1997
64,Psycho,87.9,1960
65,Klaus,88.0,2019
66,Dokonalý trik,87.9,2006
67,12 úkolů pro Asterixe,87.8,1976
68,Osvícení,87.7,1980
69,Smrtonosná zbraň,87.8,1987
70,Četa,87.8,1986
71,Hon,87.8,2012
72,Prázdniny v Římě,87.7,1953
73,Shrek,87.6,2001
74,Star Wars: Epizoda IV - Nová naděje,87.7,1977
75,Na samotě u lesa,87.6,1976
76,Někdo to rád horké,87.6,1959
77,Kladivo na čarodějnice,87.7,1969
78,Motýlek,87.6,1973
79,Star Wars: Epizoda III - Pomsta Sithů,87.5,2005
80,Requiem za sen,87.5,2000
81,Mafiáni,87.5,1990
82,Coco,87.6,2017
83,U pokladny stál...,87.5,1939
84,Tenkrát v Americe,87.5,1984
85,Cesta do pravěku,87.4,1955
86,Warrior,87.4,2011
87,Obvyklí podezřelí,87.4,1995
88,Americká krása,87.3,1999
89,Podfu(c)k,87.4,2000
90,Bohemian Rhapsody,87.3,2018
91,Star Wars: Epizoda VI - Návrat Jediů,87.2,1983
92,Byl jednou jeden král...,87.2,1954
93,Bourneovo ultimátum,87.3,2007
94,Terminátor,87.1,1984
95,Uprchlík,87.2,1993
96,Čas probuzení,87.2,1990
97,25 let neviny,87.5,2020
98,"Chyť mě, když to dokážeš",87.1,2002
99,Poslední skaut,87.0,1991
100,Princezna Mononoke,87.0,1997
101,Frajer Luke,87.0,1967
102,Spider-Man: Napříč paralelními světy,87.1,2023
103,Trainspotting,86.9,1996
104,Truman Show,86.9,1998
105,Světáci,86.9,1969
106,Duna: Část druhá,86.9,2024
107,Medvěd,86.9,1988
108,Hanebný pancharti,86.8,2009
109,"Jára Cimrman ležící, spící",86.8,1983
110,Cesta do fantazie,86.8,2001
111,Škola základ života,86.8,1938
112,Zelená kniha,86.8,2018
113,Sedm samurajů,86.9,1954
114,Americký gangster,86.7,2007
115,Sbal prachy a vypadni,86.7,1998
116,Zjizvená tvář,86.7,1983
117,Demon Slayer: Kimetsu no Yaiba Infinity Castle,88.7,2025
118,Batman začíná,86.6,2005
119,"Vrchní, prchni!",86.6,1980
120,Černý jestřáb sestřelen,86.6,2001
121,12 opic,86.6,1995
122,Predátor,86.6,1987
123,Osudový dotek,86.6,2004
124,Obchod na korze,86.7,1965
125,Třináct životů,86.7,2022
126,Rocky,86.6,1976
127,Memento,86.5,2000
128,Lví král,86.5,1994
129,Smrtonosná zbraň 2,86.6,1989
130,Sněhurka a sedm trpaslíků,86.5,1937
131,Čarodějův učeň,86.6,1977
132,Ponorka,86.6,1981
133,Sám doma,86.4,1990
134,Temný rytíř povstal,86.5,2012
135,Top Gun: Maverick,86.4,2022
136,Pro pár dolarů navíc,86.4,1965
137,Jak vycvičit draka,86.3,2010
138,Na hraně zítřka,86.3,2014
139,Hotel Rwanda,86.3,2004
140,Vynález zkázy,86.3,1958
141,Nejistá sezóna,86.3,1987
142,Tři oříšky pro Popelku,86.1,1973
143,Jurský park,86.1,1993
144,Císařův pekař - Pekařův císař,86.1,1951
145,Hra,86.1,1997
146,Smrt krásných srnců,86.1,1986
147,Olověná vesta,86.1,1987
148,Černobílý svět,86.2,2011
149,Sloní muž,86.1,1980
150,Hledá se Nemo,86.0,2003
151,Kolja,86.1,1996
152,Limonádový Joe aneb Koňská opera,86.0,1964
153,Zmizení,86.0,2013
154,Dobrý voják Švejk,86.1,1956
155,Život Briana,86.1,1979
156,Apokalypsa,86.0,1979
157,Společnost mrtvých básníků,86.0,1989
158,Most přes řeku Kwai,86.0,1957
159,Zpívání v dešti,86.1,1952
160,Ratatouille,85.9,2007
161,Skrytá identita,85.9,2006
162,Návrat do budoucnosti II,85.9,1989
163,Gentlemani,86.0,2019
164,Pink Floyd: The Wall,86.0,1982
165,Carlitova cesta,86.0,1993
166,Rozzum v divočině,86.1,2024
167,Avengers: Infinity War,85.8,2018
168,Gauneři,85.8,1992
169,Všichni dobří rodáci,85.9,1968
170,Kid,86.0,1921
171,Život je krásný,85.9,1946
172,Tvoje jméno.,86.0,2016
173,Harry Potter a vězeň z Azkabanu,85.8,2004
174,Králova řeč,85.7,2010
175,Slavnosti sněženek,85.7,1983
176,Četník ze Saint Tropez,85.7,1964
177,Svět podle Prota,85.7,2001
178,Spider-Man: Paralelní světy,85.8,2018
179,Ucho,85.8,1970
180,Nebe a dudy,85.8,1941
181,Obchodník se smrtí,85.6,2005
182,Skála,85.6,1996
183,Toy Story: Příběh hraček,85.6,1995
184,Věc,85.6,1982
185,Poslušně hlásím,85.7,1957
186,Whiplash,85.6,2014
187,Česká soda,85.7,1998
188,Přednosta stanice,85.6,1941
189,Ducháček to zařídí,85.6,1938
190,Okno do dvora,85.7,1954
191,Diktátor,85.7,1940
192,Láska nebeská,85.5,2003
193,Agent bez minulosti,85.5,2002
194,Bournův mýtus,85.5,2004
195,Rambo: První krev,85.5,1982
196,Vlny,85.5,2024
197,Velký útěk,85.6,1963
198,Interstellar,85.4,2014
199,96 hodin,85.4,2008
200,"Jáchyme, hoď ho do stroje!",85.4,1974
201,Hačikó - příběh psa,85.4,2009
202,Těžká váha,85.4,2005
203,Howlův kráčející hrad,85.4,2004
204,Stezky slávy,85.5,1957
205,Poklad na Stříbrném jezeře,85.3,1962
206,Stvoření světa,85.4,1957
207,Ip Man,85.4,2008
208,Zvíře,85.4,1977
209,Příběh z Bronxu,85.4,1993
